Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
PR,4121604,Renascença,"131,60","112,64","109,24","83,97","59,83","50,73","57,27","82,55","91,56","112,31","128,31","141,26","198,30","175,27","151,83","150,03","129,70","153,47","144,47","118,33","174,60","233,23","129,80","200,50",-26.22506311603552,-52.95081104454455
PR,4121703,Reserva,"117,80","101,34","105,61","81,91","62,00","49,40","56,32","78,41","88,16","105,58","119,26","126,86","188,63","150,23","120,33","95,13","94,23","105,77","84,03","74,73","129,30","184,33","132,70","150,37",-24.595526007172904,-50.956523370078536
PR,4121752,Reserva do Iguaçu,"120,81","101,10","99,54","78,55","58,10","46,37","52,33","74,40","83,90","101,19","118,27","128,76","200,80","150,53","140,73","127,30","117,20","154,27","110,50","108,87","173,33","213,87","130,00","174,07",-25.86769123102194,-51.96374986667199
PR,4121802,Ribeirão Claro,"116,51","103,43","110,46","90,44","71,40","59,20","68,25","89,72","103,69","118,35","126,64","129,80","210,90","199,93","135,87","81,57","66,77","66,17","49,67","44,13","61,70","163,40","122,33","156,90",-23.261669499532925,-49.76279366868967
PR,4121901,Ribeirão do Pinhal,"117,42","104,57","109,25","89,06","69,76","57,06","65,71","88,31","99,16","114,21","124,70","131,60","190,50","184,93","115,27","93,43","92,60","81,73","81,87","59,23","78,10","157,07","115,87","124,73",-23.4482587801948,-50.37423005660944
PR,4122008,Rio Azul,"112,60","94,31","93,70","70,41","52,97","41,50","46,79","67,84","78,62","94,62","111,19","122,67","175,53","177,07","141,63","116,53","92,00","120,53","86,17","90,30","140,83","194,30","129,30","150,63",-25.72091528783525,-50.79263845225387
PR,4122107,Rio Bom,"122,33","105,43","111,17","87,84","67,80","54,50","61,34","84,34","92,86","111,53","121,84","130,98","215,93","171,73","119,30","88,97","104,97","99,97","83,33","59,67","98,13","173,80","124,10","176,30",-23.797425037421423,-51.43335876594315
PR,4122156,Rio Bonito do Iguaçu,"129,48","111,61","108,02","85,06","59,44","48,16","54,98","78,68","89,41","110,17","126,09","136,95","202,00","177,13","126,47","131,80","105,67","143,43","116,63","89,27","161,63","226,13","134,27","182,57",-25.54662873615516,-52.60854547942353
PR,4122172,Rio Branco do Ivaí,"121,74","105,93","111,21","84,93","65,04","51,47","58,60","80,90","91,41","110,09","123,44","130,79","203,67","163,03","110,30","81,80","93,67","111,37","100,13","72,77","118,47","194,03","118,93","175,60",-24.346519582797534,-51.33380225796176
PR,4122206,Rio Branco do Sul,"110,04","93,98","95,37","72,30","54,57","42,96","50,19","67,55","75,86","94,41","103,14","114,63","258,77","228,93","166,43","112,03","94,73","115,63","86,23","76,37","131,50","184,33","144,83","166,27",-25.07644973112795,-49.3475804775817
PR,4122305,Rio Negro,"107,46","92,74","92,27","68,09","50,54","39,85","45,00","62,93","70,52","90,90","103,00","116,21","176,30","174,33","143,53","79,67","87,93","101,67","78,80","83,90","119,07","154,43","112,03","148,40",-26.094810108898805,-49.68336339783406
PR,4122404,Rolândia,"120,18","104,39","109,71","91,71","72,56","58,92","66,52","90,47","97,38","114,49","122,10","132,79","213,50","188,30","118,50","95,07","102,50","78,60","64,90","47,90","80,07","163,33","138,17","155,43",-23.271249276825205,-51.40920784102267
PR,4122503,Roncador,"123,79","107,11","108,26","85,53","63,58","52,83","59,04","80,96","92,06","109,18","124,10","131,54","242,43","177,20","136,30","94,27","124,80","144,17","99,73","77,47","128,37","214,57","97,83","188,27",-24.565842801100576,-52.26133469122561
PR,4122602,Rondon,"127,53","114,89","113,90","91,74","70,39","56,50","65,59","88,94","99,84","116,99","129,64","137,20","171,53","141,77","87,77","80,67","109,57","105,90","76,13","51,77","88,07","168,53","123,13","138,10",-23.47763115860405,-52.8046281742401
PR,4122651,Rosário do Ivaí,"123,50","105,94","108,98","85,37","64,50","51,38","58,83","80,90","91,64","110,62","124,81","131,93","204,40","164,63","117,47","80,73","91,43","105,07","95,37","70,10","113,57","185,53","121,17","173,27",-24.31573504301292,-51.203435070742536
PR,4122701,Sabáudia,"120,43","103,87","107,88","89,06","68,74","54,58","62,24","84,88","92,23","110,20","118,08","130,43","198,60","172,10","111,93","92,60","101,60","77,53","65,87","46,47","76,40","161,73","124,10","147,23",-23.348646018235687,-51.5843669312871
